TotalGHGEmissions
38.53
90.01
31.47
87.98
67.06
39.06
101.83
48.76
20.48
89.02
10.55
56.82
41.74
100.46
104.26
54.07
49.58
83.7
73.47
59.34
46.36
48.99
49.12
21.29
28.27
9.63
72.88
49.09
84.57
71.86
43.98
16.0
48.65
70.47
44.48
93.23
20.86
23.81
25.32
24.35
24.29
17.17
32.22
8.15
2.8
42.65
28.63
6.32
38.48
63.89
22.1
34.0
58.67
49.9
65.3
107.16
25.74
60.7
55.73
5.59
48.5
13.72
51.56
20.85
13.51
31.74
89.08
30.52
11.29
24.39
17.87
36.02
43.84
70.76
86.46
3.58
77.04
2.41
2.57
21.93
22.65
37.78
71.06
7.77
83.59
29.62
9.82
42.19
25.24
24.02
43.8
15.27
6.33
18.1
29.54
14.22
6.16
24.25
15.24
13.87
8.68
14.63
28.81
60.43
33.78
16.63
2.92
66.29
12.95
41.69
11.14
10.83
86.02
30.33
72.78
36.43
4.22
13.91
28.41
74.92
99.15
18.66
32.64
33.23
34.98
64.51
8.45
38.87
6.49
32.22
23.59
38.78
5.67
4.99
89.57
27.14
20.08
23.15
26.11
49.98
0.63
19.07
89.29
43.45
100.21
13.29
34.15
1.86
43.13
13.16
33.92
41.68
12.48
5.17
19.93
19.82
13.02
19.04
63.06
3.89
1.73
1.7
61.71
46.64
65.65
10.75
39.05
1.67
50.69
31.6
67.52
61.53
29.82
47.59
18.85
2.52
6.18
39.5
11.27
15.47
68.14
32.63
106.45
68.97
29.41
69.77
3.06
10.26
8.85
3.16
64.81
45.79
81.96
1.55
3.73
18.16
28.09
4.95
3.34
13.71
46.48
94.85
60.88
9.0
42.04
8.47
66.53
9.46
73.52
18.34
82.34
5.41
16.06
7.49
23.85
11.29
16.13
19.39
8.49
49.58
40.22
10.36
12.35
36.74
45.33
61.98
79.58
17.12
8.8
12.77
12.59
26.38
20.76
20.9
48.35
73.61
85.55
1.12
31.61
82.72
35.77
32.09
20.64
24.62
41.06
13.97
77.8
13.33
3.94
44.33
77.48
44.89
11.97
12.98
75.99
22.46
41.22
3.04
10.73
75.25
30.22
4.05
77.76
115.43
104.91
10.15
46.46
35.96
55.95
50.67
24.42
5.97
7.07
13.27
86.81
3.71
6.35
13.75
27.97
9.42
18.63
2.64
26.55
7.59
73.26
18.54
1.85
103.28
23.9
80.09
32.77
9.08
4.88
24.88
6.99
49.62
5.97
53.73
49.73
15.11
17.38
64.88
0.81
64.54
55.3
25.09
46.9
60.34
45.38
38.86
78.22
5.24
29.24
13.29
31.79
8.42
14.9
34.26
9.03
46.44
0.68
0.4
4.58
14.81
11.08
5.94
5.07
6.3
1.68
7.82
34.52
16.67
17.39
44.26
33.28
30.49
17.08
67.45
8.97
12.24
42.87
28.28
8.44
2.34
82.57
17.24
44.28
13.25
33.42
42.96
55.85
32.58
11.39
53.21
3.04
2.19
43.63
19.12
12.15
2.28
23.6
2.25
62.23
26.41
38.39
2.86
2.69
44.26
37.65
21.24
62.05
112.34
46.45
110.66
24.31
22.26
38.57
15.7
33.8
59.24
11.17
17.57
4.65
13.91
26.73
13.12
13.7
61.3
6.16
60.57
24.76
14.36
6.04
18.87
4.95
7.56
10.01
19.56
109.59
50.07
46.51
13.67
42.45
54.24
19.51
37.08
9.26
22.48
67.05
3.8
19.61
8.85
51.1
17.04
2.91
83.3
28.37
21.5
4.48
28.57
102.35
13.87
12.92
8.84
44.27
12.22
18.03
1.14
12.55
5.09
25.77
40.85
3.45
8.7
40.94
17.29
15.35
40.01
59.0
5.82
56.04
6.42
3.67
6.41
18.5
17.51
38.87
60.12
2.82
9.25
16.5
46.16
24.91
43.64
38.38
12.89
93.5
17.87
3.65
3.72
9.29
8.22
19.88
7.27
27.92
41.96
50.76
20.3
14.7
57.25
31.94
18.87
18.04
26.52
49.18
46.85
23.5
78.57
7.74
34.04
1.51
4.33
19.43
41.77
43.18
64.75
59.14
39.05
85.15
21.46
29.88
17.6
26.27
12.17
6.3
1.46
7.49
106.35
7.98
92.7
