BuildingType,YearBuilt,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions
NonResidential,1914,5,127800,Non-Refrigerated Warehouse,56.0,2767491.0,29.53
NonResidential,2006,4,136143,Office,97.0,6917478.5,122.68
NonResidential,1954,3,67380,Non-Refrigerated Warehouse,66.0,2755829.0,74.1
NonResidential,1974,5,67236,Office,80.0,3415561.25,23.81
NonResidential,1972,5,66762,Office,69.0,3632613.75,25.32
NonResidential,1970,5,66762,Office,86.0,3493093.75,24.35
NonResidential,1971,5,66400,Office,75.0,3484915.5,24.29
NonResidential,1997,4,98475,Non-Refrigerated Warehouse,83.0,1090496.625,22.44
NonResidential,2008,1,63225,Supermarket/Grocery Store,100.0,6522551.5,45.47
NonResidential,1999,3,94400,Non-Refrigerated Warehouse,38.0,784364.5,10.24
NonResidential,1988,3,95426,Office,73.0,4991360.5,34.9
NonResidential,2000,4,53472,Office,84.0,3897738.0,27.17
NonResidential,2001,3,62332,Office,70.0,5413418.0,37.74
NonResidential,1967,2,90000,Non-Refrigerated Warehouse,87.0,1429146.375,17.17
NonResidential,1941,2,63240,Non-Refrigerated Warehouse,100.0,227566.7031,8.15
NonResidential,1997,4,106041,Non-Refrigerated Warehouse,94.0,1123943.0,25.58
NonResidential,1966,1,22780,Non-Refrigerated Warehouse,33.0,402051.3125,2.8
NonResidential,1967,1,50065,Distribution Center,72.0,1529510.25,42.65
NonResidential,1969,1,57540,Distribution Center,26.0,2582687.0,76.68
NonResidential,1966,1,85400,Non-Refrigerated Warehouse,49.0,1536998.25,10.72
NonResidential,1966,1,55700,Non-Refrigerated Warehouse,63.0,519806.0938,3.62
NonResidential,1964,1,53250,Office,96.0,1794187.25,46.93
NonResidential,1987,6,50245,Office,98.0,2179719.75,28.63
NonResidential,1986,3,64660,Non-Refrigerated Warehouse,89.0,325513.0,6.32
NonResidential,1980,1,52613,Distribution Center,80.0,1061458.25,32.02
NonResidential,1914,2,62220,Office,32.0,5444253.5,38.55
NonResidential,1970,1,65430,Office,89.0,3181045.5,90.24
NonResidential,2006,3,59850,Office,26.0,6062770.5,49.17
NonResidential,1989,2,98024,Distribution Center,94.0,1988334.5,42.25
NonResidential,1990,5,77953,Office,62.0,5135040.0,35.8
NonResidential,1981,6,86483,Office,56.0,6361236.5,44.35
NonResidential,1976,1,51600,Distribution Center,75.0,1124543.125,22.1
NonResidential,1968,1,140520,Non-Refrigerated Warehouse,61.0,2225512.0,57.73
NonResidential,1986,5,91649,Office,95.0,4636396.5,58.88
NonResidential,1980,1,50417,Non-Refrigerated Warehouse,14.0,1847401.0,58.67
NonResidential,2000,4,104500,Office,91.0,6486377.5,45.22
NonResidential,1969,2,104786,Non-Refrigerated Warehouse,93.0,1028376.875,23.86
NonResidential,1948,1,53620,Office,86.0,2058955.25,22.12
NonResidential,1938,1,50008,Office,62.0,3202213.0,65.3
NonResidential,1957,1,50832,Non-Refrigerated Warehouse,63.0,2551022.25,107.16
NonResidential,1971,1,76354,Refrigerated Warehouse,70.0,2843033.5,20.29
NonResidential,1956,1,98480,Non-Refrigerated Warehouse,65.0,2831565.5,39.5
NonResidential,1904,2,53002,Retail Store,75.0,3441643.25,64.0
NonResidential,1970,7,94002,Office,70.0,5662234.0,39.47
NonResidential,1974,1,93020,Non-Refrigerated Warehouse,60.0,1252323.875,8.73
NonResidential,1904,5,78920,Office,88.0,2830674.75,19.73
NonResidential,1906,7,99440,Office,64.0,6606832.5,134.69
NonResidential,1907,6,73260,Office,82.0,2853189.5,19.89
NonResidential,1900,4,69817,Office,87.0,2178074.5,76.8
NonResidential,1909,6,73470,Office,83.0,3212269.0,22.39
NonResidential,1910,3,56700,Office,37.0,2371575.0,31.58
NonResidential,1922,1,82852,Non-Refrigerated Warehouse,83.0,2153603.5,65.56
NonResidential,1962,2,92792,Distribution Center,56.0,3155496.0,74.18
NonResidential,1900,4,103200,Office,80.0,4374646.0,30.5
NonResidential,1954,1,78814,Non-Refrigerated Warehouse,69.0,861972.875,16.48
NonResidential,1910,6,64800,Distribution Center,15.0,2688675.75,18.74
NonResidential,1904,4,66842,Office,31.0,5608600.5,138.35
NonResidential,1909,6,64488,Office,81.0,2891605.0,20.18
NonResidential,1930,3,60592,Office,16.0,5049446.5,47.25
NonResidential,1993,1,107930,Retail Store,57.0,7221482.5,100.42
NonResidential,1926,1,99084,Non-Refrigerated Warehouse,83.0,1618110.375,49.25
NonResidential,1953,1,72719,Distribution Center,28.0,2581741.75,42.74
NonResidential,1973,1,56572,Retail Store,66.0,2409429.0,67.29
NonResidential,1987,7,94500,Medical Office,68.0,5792926.0,40.38
NonResidential,1900,6,56700,Office,55.0,3065954.5,21.37
NonResidential,1925,4,72000,Office,89.0,2729167.75,23.48
NonResidential,2000,4,96254,Office,93.0,5101504.5,35.56
NonResidential,1982,5,98668,Office,91.0,4391348.0,30.61
NonResidential,1978,1,50660,Retail Store,51.0,2661488.0,60.7
NonResidential,1937,2,61929,Office,59.0,2203026.5,55.73
NonResidential,1925,3,20565,Office,65.0,802312.5,5.59
NonResidential,2000,5,103966,Office,63.0,7857972.5,54.78
NonResidential,1986,5,129362,Office,95.0,5514308.5,116.74
NonResidential,1910,6,112560,Office,86.0,4946798.5,97.82
NonResidential,1910,6,86204,Other,89.0,3241917.0,69.02
NonResidential,1960,1,110613,Distribution Center,95.0,1015060.188,7.08
NonResidential,1951,3,98220,Non-Refrigerated Warehouse,12.0,6468090.0,75.29
NonResidential,1970,1,84420,Distribution Center,55.0,2848317.25,19.86
NonResidential,1987,1,111908,Distribution Center,87.0,1555420.25,34.14
NonResidential,2001,4,71037,Office,5.0,4817062.0,33.58
NonResidential,2000,2,51374,Office,33.0,5481549.0,38.21
NonResidential,1998,5,110524,Office,57.0,6859198.0,47.82
NonResidential,1974,5,84210,Office,85.0,4750799.0,65.03
NonResidential,1929,4,78920,Retail Store,80.0,8303666.5,109.85
NonResidential,1979,7,43983,Office,93.0,5177270.5,109.16
NonResidential,1940,3,83118,Retail Store,59.0,2443141.5,27.82
NonResidential,1924,3,77555,Retail Store,39.0,7802205.5,54.4
NonResidential,1909,6,51218,Office,57.0,2886141.5,20.12
NonResidential,1910,7,122356,Office,91.0,4585070.5,41.8
NonResidential,1921,3,52298,Office,89.0,1968655.125,13.72
NonResidential,1910,6,81300,Office,83.0,4052720.0,31.43
NonResidential,1907,6,62370,Office,30.0,4353025.0,30.35
NonResidential,1960,1,73296,Non-Refrigerated Warehouse,83.0,2356376.75,73.58
NonResidential,1966,1,115620,Non-Refrigerated Warehouse,11.0,1951856.25,13.61
NonResidential,1969,1,71718,Distribution Center,100.0,151754.2969,1.06
NonResidential,1969,1,55450,Non-Refrigerated Warehouse,31.0,4345698.0,131.64
NonResidential,1979,1,54880,Distribution Center,32.0,2763597.0,89.53
NonResidential,1900,6,79920,Office,83.0,5392617.5,74.45
NonResidential,2009,6,68100,Office,63.0,4865551.5,79.39
NonResidential,1966,2,123000,Non-Refrigerated Warehouse,47.0,3004271.0,20.94
NonResidential,1978,1,60448,Non-Refrigerated Warehouse,90.0,1052244.75,27.24
NonResidential,1987,5,90266,Financial Office,18.0,7771933.5,54.18
NonResidential,2004,4,80874,Non-Refrigerated Warehouse,87.0,1165598.875,14.49
NonResidential,1988,4,132828,Non-Refrigerated Warehouse,83.0,1083729.625,7.56
NonResidential,1987,4,80360,Non-Refrigerated Warehouse,96.0,686019.1875,16.27
SPS-District K-12,1950,1,61183,K-12 School,92.0,2424724.25,95.54
NonResidential,1921,3,53552,Office,3.0,7070998.5,49.29
NonResidential,2000,3,56986,Multifamily Housing,32.0,1997181.5,25.6
NonResidential,1957,2,22220,Worship Facility,90.0,778355.8125,31.74
SPS-District K-12,1955,1,46732,K-12 School,87.0,2331952.75,89.08
NonResidential,1976,1,44100,Non-Refrigerated Warehouse,1.0,1618916.375,11.29
NonResidential,1965,1,27800,Distribution Center,13.0,1224186.25,24.39
NonResidential,2001,1,46340,Non-Refrigerated Warehouse,3.0,2564004.0,17.87
NonResidential,1910,3,38460,Office,69.0,1950713.25,36.02
NonResidential,1922,2,21022,Worship Facility,54.0,945245.625,43.84
SPS-District K-12,1954,2,51489,K-12 School,93.0,1984067.625,70.76
NonResidential,1967,1,48001,Distribution Center,49.0,2143650.75,86.46
NonResidential,1969,1,37351,Non-Refrigerated Warehouse,10.0,2559461.75,77.04
NonResidential,1981,1,30375,Non-Refrigerated Warehouse,73.0,345866.6875,2.41
NonResidential,1914,2,33589,Worship Facility,90.0,509836.1875,21.93
NonResidential,1979,3,43500,Office,46.0,3220635.25,22.65
NonResidential,1978,2,28492,Office,12.0,1896298.875,37.78
SPS-District K-12,1925,2,37327,K-12 School,92.0,1967476.375,71.06
SPS-District K-12,1930,2,47602,K-12 School,78.0,2249592.5,83.59
NonResidential,1942,3,64630,Office,96.0,1408291.375,9.82
NonResidential,1948,2,20920,Worship Facility,15.0,1042108.5,42.19
NonResidential,1926,2,22128,Worship Facility,94.0,608359.6875,25.24
NonResidential,1968,1,48139,Retail Store,98.0,859236.625,24.02
NonResidential,1949,2,21364,Worship Facility,86.0,965651.125,43.8
