BuildingType,YearBuilt,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions
NonResidential,1980,1,39840,Non-Refrigerated Warehouse,2.0,752104.0,5.24
NonResidential,1975,1,40445,Worship Facility,92.0,786253.6875,29.24
NonResidential,1996,1,23500,Retail Store,53.0,1137967.5,13.29
NonResidential,1967,1,22420,Retail Store,82.0,1404253.75,31.79
NonResidential,1982,3,25859,Office,88.0,858780.625,14.9
NonResidential,1974,1,25600,Non-Refrigerated Warehouse,1.0,1730600.625,34.26
NonResidential,2008,4,33385,Office,89.0,1294615.25,9.03
NonResidential,1960,1,56884,Non-Refrigerated Warehouse,71.0,1388345.125,37.49
NonResidential,1989,1,32810,Retail Store,66.0,2017967.75,46.44
NonResidential,1961,2,20022,Office,80.0,657385.8125,4.58
NonResidential,1960,2,36498,Distribution Center,89.0,520011.8125,14.81
NonResidential,2007,4,24472,Office,96.0,845044.125,5.94
NonResidential,1979,4,22365,Office,71.0,727385.8125,5.07
NonResidential,1994,4,30172,Office,82.0,904059.875,6.3
NonResidential,1927,4,42500,Non-Refrigerated Warehouse,100.0,241478.5938,1.68
NonResidential,1968,2,23500,Office,26.0,1686405.0,34.52
NonResidential,1966,1,22282,Office,93.0,579888.3125,16.67
NonResidential,1931,2,37500,Office,58.0,2235765.5,44.26
NonResidential,1930,3,23983,K-12 School,61.0,1164364.75,33.28
NonResidential,1980,1,24100,Distribution Center,22.0,809870.8125,30.49
NonResidential,1983,4,29722,Office,64.0,1286817.375,8.97
NonResidential,1983,4,26048,Office,78.0,1755788.5,12.24
NonResidential,1955,2,39497,Non-Refrigerated Warehouse,9.0,1700057.375,28.28
NonResidential,1982,2,27574,Office,73.0,1211349.25,8.44
NonResidential,1965,1,24982,Retail Store,99.0,335245.0,2.34
NonResidential,1998,5,43661,Senior Care Community,4.0,3936421.5,82.57
NonResidential,1987,3,48798,Office,91.0,2472350.25,17.24
NonResidential,1966,1,41615,Retail Store,69.0,1900006.25,13.25
NonResidential,1988,3,28841,Medical Office,55.0,1459199.75,33.42
NonResidential,1924,2,42975,K-12 School,92.0,959352.0,42.96
NonResidential,1988,2,30659,Office,88.0,2619088.5,55.85
NonResidential,1979,2,34759,Medical Office,81.0,1633105.375,11.39
NonResidential,1965,1,21603,Supermarket/Grocery Store,16.0,5833800.0,129.89
NonResidential,1979,1,42900,Distribution Center,53.0,436252.5,3.04
NonResidential,1956,2,25840,Non-Refrigerated Warehouse,92.0,313528.0938,2.19
NonResidential,2001,5,48237,Office,89.0,1981115.25,19.12
SPS-District K-12,1971,1,50546,K-12 School,94.0,1155080.5,12.15
NonResidential,1997,2,40657,Office,57.0,2826828.0,23.6
NonResidential,1970,7,33548,Office,94.0,1403820.0,9.79
NonResidential,1956,3,21282,Office,69.0,1245923.75,62.23
NonResidential,1985,3,20590,Office,100.0,409578.4063,2.86
NonResidential,1977,1,21936,Non-Refrigerated Warehouse,100.0,113130.0,2.69
NonResidential,1988,2,66484,Office,69.0,3046543.0,21.24
NonResidential,1959,3,25151,Office,85.0,1356874.75,62.05
NonResidential,1928,6,35770,Hotel,56.0,2640980.25,112.34
Nonresidential COS,1973,2,21315,Office,34.0,2796425.0,110.66
NonResidential,1984,4,41298,Office,69.0,2190460.0,24.31
NonResidential,1979,3,34030,Office,50.0,1748629.875,22.26
NonResidential,1952,1,41308,Distribution Center,7.0,1642471.5,38.57
NonResidential,1957,1,38255,Non-Refrigerated Warehouse,12.0,985401.8125,33.8
NonResidential,1989,3,48924,Office,71.0,2282551.25,59.24
NonResidential,1959,4,32297,Office,88.0,1602084.375,11.17
NonResidential,2000,3,35224,Office,73.0,1994967.75,13.91
NonResidential,1957,2,24224,Worship Facility,52.0,968026.3125,26.73
NonResidential,1963,1,23706,Worship Facility,78.0,400770.9063,13.12
NonResidential,1959,1,67450,Supermarket/Grocery Store,97.0,2842819.5,55.86
NonResidential,1979,2,37616,Office,100.0,1234095.5,60.57
NonResidential,1940,2,20671,Office,98.0,638507.125,24.76
NonResidential,1927,1,21600,Non-Refrigerated Warehouse,57.0,499828.5938,14.36
NonResidential,1977,1,35844,Worship Facility,14.0,866126.375,6.04
NonResidential,1916,3,31774,Office,85.0,1639136.25,18.87
NonResidential,1953,1,26094,Non-Refrigerated Warehouse,19.0,709990.8125,4.95
NonResidential,1983,2,23687,Office,68.0,1084553.75,7.56
NonResidential,1983,2,24221,Office,20.0,1435562.75,10.01
NonResidential,1900,2,57836,Office,37.0,5381105.0,37.51
NonResidential,1900,2,32027,Office,54.0,3999505.25,128.41
NonResidential,1914,3,34425,Office,84.0,2018385.75,50.07
SPS-District K-12,1971,2,52609,K-12 School,67.0,1801941.75,46.51
NonResidential,1984,3,28304,Medical Office,5.0,1961581.5,13.67
NonResidential,1990,1,29619,Distribution Center,50.0,1280263.75,42.45
NonResidential,1922,2,21592,K-12 School,47.0,1431784.0,54.24
NonResidential,1931,2,23923,K-12 School,69.0,805643.5,19.51
NonResidential,1907,3,25200,Office,47.0,1748444.25,37.08
NonResidential,1963,2,28296,Office,80.0,1328461.25,9.26
NonResidential,1999,3,31357,Office,55.0,1965075.625,22.48
NonResidential,1924,1,38412,Non-Refrigerated Warehouse,62.0,1628540.0,67.05
NonResidential,1953,1,24291,Office,98.0,655422.375,19.61
NonResidential,1966,1,36544,Non-Refrigerated Warehouse,5.0,1269847.75,8.85
NonResidential,1947,1,21349,Distribution Center,70.0,659761.875,17.04
NonResidential,1936,1,38630,Non-Refrigerated Warehouse,33.0,416885.5938,2.91
Nonresidential COS,1985,1,22803,Non-Refrigerated Warehouse,78.0,764094.5,21.5
NonResidential,1951,1,41550,Refrigerated Warehouse,94.0,642645.1875,4.48
SPS-District K-12,2000,2,64493,K-12 School,85.0,1989763.875,28.57
NonResidential,1912,2,42252,K-12 School,49.0,2203758.5,102.35
NonResidential,1981,3,22895,Worship Facility,96.0,440419.1875,12.92
NonResidential,2002,2,36740,Retail Store,100.0,1267463.125,8.84
SPS-District K-12,1961,1,41428,K-12 School,90.0,1404702.25,44.27
NonResidential,1937,1,52325,Non-Refrigerated Warehouse,67.0,808968.1875,18.03
NonResidential,1944,1,25880,Retail Store,100.0,162960.0,1.14
NonResidential,1960,1,45842,Non-Refrigerated Warehouse,99.0,819354.625,12.55
NonResidential,1966,1,20520,Non-Refrigerated Warehouse,20.0,1167887.75,40.85
NonResidential,1945,1,22972,Non-Refrigerated Warehouse,12.0,495481.0,3.45
NonResidential,1953,1,24990,Non-Refrigerated Warehouse,80.0,523614.0938,8.7
NonResidential,1966,1,24354,Distribution Center,10.0,735907.8125,17.29
NonResidential,1959,1,33600,Distribution Center,58.0,847419.375,15.35
NonResidential,1957,1,25520,Refrigerated Warehouse,100.0,1610794.75,59.0
SPS-District K-12,1970,1,41526,K-12 School,79.0,1814947.0,56.04
NonResidential,1974,2,24291,Office,87.0,920430.625,6.42
NonResidential,1958,2,20738,Retail Store,44.0,526752.8125,3.67
NonResidential,1986,2,21329,Medical Office,1.0,2654316.0,18.5
NonResidential,1983,1,23143,Office,75.0,1139980.625,38.87
NonResidential,1962,1,28800,Office,73.0,2107743.75,60.12
NonResidential,1952,1,39600,Non-Refrigerated Warehouse,85.0,405050.4063,2.82
NonResidential,1952,1,39600,Non-Refrigerated Warehouse,91.0,468396.9063,9.25
NonResidential,1937,1,41248,Distribution Center,37.0,1108310.875,16.5
NonResidential,1948,2,35864,Worship Facility,75.0,1228113.5,43.64
NonResidential,1954,1,20484,Worship Facility,69.0,822636.625,38.38
NonResidential,1984,4,27642,Medical Office,4.0,1849331.25,12.89
NonResidential,1960,2,34110,Office,31.0,2563985.5,17.87
NonResidential,1970,1,43390,Non-Refrigerated Warehouse,87.0,533742.8125,3.72
NonResidential,1959,1,35400,Non-Refrigerated Warehouse,84.0,419978.6875,9.29
NonResidential,1966,1,28144,Distribution Center,19.0,858701.0,8.22
NonResidential,1916,3,71283,Non-Refrigerated Warehouse,41.0,2491238.25,43.17
NonResidential,1979,2,47368,Office,99.0,1042652.625,7.27
NonResidential,1984,5,49825,Office,84.0,2602213.75,41.96
NonResidential,1968,1,36071,Retail Store,97.0,1519952.125,50.76
SPS-District K-12,1989,3,51672,K-12 School,97.0,1436510.375,20.3
Nonresidential COS,1990,2,27270,Medical Office,36.0,2108861.75,14.7
NonResidential,1907,2,36000,Office,95.0,1046187.625,18.04
NonResidential,1913,1,36000,Parking,59.0,1162163.125,26.52
NonResidential,1915,2,43200,Non-Refrigerated Warehouse,38.0,1929851.5,49.18
NonResidential,1913,4,40970,Office,71.0,2912454.75,46.85
NonResidential,1975,1,43794,Retail Store,88.0,1164537.75,23.5
NonResidential,1968,1,48280,Non-Refrigerated Warehouse,18.0,2701833.75,78.57
SPS-District K-12,1948,1,64314,K-12 School,86.0,2936336.25,108.05
NonResidential,1950,2,20385,Worship Facility,65.0,809291.8125,34.04
NonResidential,1946,1,24295,Worship Facility,53.0,216115.0,1.51
NonResidential,1967,2,20317,Office,83.0,620994.3125,4.33
NonResidential,1966,1,32000,Non-Refrigerated Warehouse,3.0,2186148.5,41.77
NonResidential,1973,1,36000,Non-Refrigerated Warehouse,44.0,2771820.5,124.4
NonResidential,1979,1,48020,Non-Refrigerated Warehouse,71.0,2373568.25,59.14
NonResidential,1979,1,27420,Non-Refrigerated Warehouse,55.0,1176342.25,39.05
NonResidential,1949,2,43645,K-12 School,71.0,2053956.375,85.15
NonResidential,1952,1,26853,Retail Store,68.0,1399062.75,21.46
NonResidential,1992,1,29394,Non-Refrigerated Warehouse,60.0,1486681.75,26.27
NonResidential,1926,2,20400,Non-Refrigerated Warehouse,69.0,438557.0,12.17
NonResidential,1926,1,20460,Office,16.0,903541.875,6.3
NonResidential,1955,2,21870,Refrigerated Warehouse,45.0,1074350.375,7.49
NonResidential,1970,1,43615,Medical Office,89.0,3133849.5,106.35
NonResidential,1970,3,36879,Office,26.0,1144267.5,7.98
NonResidential,1982,2,36600,Non-Refrigerated Warehouse,80.0,308400.4063,2.15
SPS-District K-12,1959,1,36701,K-12 School,87.0,1564891.75,47.98
NonResidential,1941,1,48890,Non-Refrigerated Warehouse,49.0,2100216.5,61.6
NonResidential,2000,3,43473,Office,3.0,4416909.5,30.79
NonResidential,1990,1,40265,Retail Store,19.0,3740373.75,35.48
NonResidential,2005,1,26208,Retail Store,79.0,1608884.25,37.61
NonResidential,1910,5,32250,Office,92.0,796042.375,11.44
NonResidential,1953,1,51000,Retail Store,95.0,1298039.875,14.17
NonResidential,1920,2,20150,Office,80.0,576174.125,4.02
NonResidential,1909,7,36000,Office,40.0,1682454.875,11.73
NonResidential,1927,1,22580,Office,90.0,928584.875,9.65
NonResidential,1926,1,20000,Non-Refrigerated Warehouse,18.0,743528.125,33.52
NonResidential,1964,1,37247,Retail Store,69.0,1748644.5,58.36
NonResidential,1993,1,25384,Retail Store,11.0,3027867.5,77.23
NonResidential,1900,2,52110,Non-Refrigerated Warehouse,34.0,586589.1875,25.15
NonResidential,1923,1,26310,Office,96.0,771512.6875,14.99
NonResidential,1962,3,29874,K-12 School,95.0,1274049.75,54.27
NonResidential,1965,1,20140,Worship Facility,35.0,992794.6875,47.08
NonResidential,1971,2,39953,Office,93.0,1508561.875,28.05
NonResidential,1998,2,21200,Retail Store,15.0,1676426.5,11.69
NonResidential,1980,1,30630,Supermarket/Grocery Store,27.0,6058494.0,42.24
NonResidential,1980,2,23421,Retail Store,25.0,1896626.375,13.22
NonResidential,1928,2,24120,Worship Facility,66.0,893053.1875,31.54
NonResidential,1929,3,35736,Worship Facility,88.0,1148202.25,51.15
NonResidential,1941,1,51050,Non-Refrigerated Warehouse,10.0,1206165.75,27.75
NonResidential,1954,2,21900,Retail Store,40.0,1302192.875,42.66
NonResidential,1952,1,16300,Distribution Center,100.0,150167.7969,1.6
NonResidential,1964,1,33462,Non-Refrigerated Warehouse,1.0,1386445.375,9.67
NonResidential,1930,1,23903,Non-Refrigerated Warehouse,65.0,415364.5938,14.37
Campus,1923,4,46100,K-12 School,75.0,2177064.75,78.19
NonResidential,1951,2,21936,Worship Facility,96.0,608755.375,28.78
NonResidential,1967,2,23250,Office,55.0,904236.0,6.3
NonResidential,1960,1,30000,Non-Refrigerated Warehouse,32.0,2794837.0,120.72
SPS-District K-12,1962,1,51410,K-12 School,87.0,1968907.25,64.79
NonResidential,1980,4,23022,Office,78.0,1027230.875,14.64
NonResidential,1962,1,31569,Non-Refrigerated Warehouse,12.0,3064039.5,125.59
NonResidential,1956,1,22509,Non-Refrigerated Warehouse,57.0,177812.7969,1.24
NonResidential,1956,1,39984,Non-Refrigerated Warehouse,75.0,1073156.375,36.82
SPS-District K-12,1925,2,73769,K-12 School,92.0,2556131.0,94.85
NonResidential,1906,1,26440,Worship Facility,91.0,719905.1875,27.93
SPS-District K-12,1961,1,43578,K-12 School,83.0,1436773.875,24.63
NonResidential,1949,3,23355,Office,77.0,840549.375,5.86
NonResidential,1965,4,30840,Office,30.0,3542708.5,101.21
NonResidential,1900,1,21850,Worship Facility,100.0,317794.4063,13.09
NonResidential,1914,4,45500,Hotel,77.0,2799595.0,122.0
NonResidential,1938,1,23050,Non-Refrigerated Warehouse,27.0,466672.6875,3.25
NonResidential,1930,1,46059,Retail Store,82.0,1582655.875,20.66
NonResidential,1970,2,23595,Medical Office,72.0,817409.625,6.53
NonResidential,1900,3,28142,Office,96.0,847097.8125,34.08
NonResidential,1902,4,39030,Office,99.0,713326.875,13.69
NonResidential,1916,2,36940,Retail Store,100.0,336745.4063,2.35
NonResidential,1920,1,30240,Retail Store,78.0,1264626.875,18.19
NonResidential,1979,3,35202,Office,2.0,3605755.5,25.14
NonResidential,1910,2,24600,Worship Facility,69.0,331059.5,5.66
NonResidential,1917,3,27544,Office,94.0,1031667.5,17.41
NonResidential,1956,2,21562,Worship Facility,20.0,866806.0,37.28
SPS-District K-12,1925,3,38297,K-12 School,85.0,1845150.625,69.18
NonResidential,1968,1,24200,Worship Facility,73.0,826488.6875,22.38
NonResidential,1938,2,23222,K-12 School,62.0,1219863.125,55.06
NonResidential,1904,3,60000,K-12 School,52.0,3625407.5,121.63
NonResidential,1980,3,30408,Bank Branch,61.0,1440554.25,10.04
NonResidential,1920,3,30109,Office,89.0,1465795.75,34.03
SPS-District K-12,1964,2,39929,K-12 School,82.0,1813718.0,47.18
NonResidential,1960,2,25481,Office,92.0,917100.3125,38.59
NonResidential,1912,2,27788,Office,73.0,2119806.25,35.99
NonResidential,1990,4,33120,Hotel,73.0,1943899.25,58.52
NonResidential,1941,2,22324,Non-Refrigerated Warehouse,53.0,588856.125,22.33
NonResidential,1922,3,27600,Office,84.0,1072151.375,12.57
SPS-District K-12,1971,2,52901,K-12 School,75.0,2240342.0,60.2
NonResidential,1954,1,22583,Senior Care Community,95.0,1981360.0,70.92
NonResidential,1981,3,20660,Office,92.0,720170.6875,5.02
NonResidential,1972,1,29400,Non-Refrigerated Warehouse,69.0,227509.5,1.59
NonResidential,1992,3,22452,Hotel,85.0,1244150.0,41.88
NonResidential,1912,2,25767,Bank Branch,22.0,1581352.75,11.02
NonResidential,1953,4,33910,Retail Store,75.0,1822834.25,38.21
NonResidential,1979,2,78716,Non-Refrigerated Warehouse,38.0,4103800.75,48.13
NonResidential,1910,2,33300,K-12 School,92.0,1594733.625,69.2
NonResidential,1957,1,20962,Office,58.0,1100499.75,7.67
NonResidential,1976,2,19193,Bank Branch,17.0,1159807.125,8.09
NonResidential,1900,4,22840,Office,64.0,881386.1875,6.14
NonResidential,1900,1,20880,Office,94.0,683274.0,4.76
NonResidential,2010,2,25880,Medical Office,8.0,1941728.75,19.81
NonResidential,1950,3,46485,Worship Facility,83.0,1544995.75,47.03
NonResidential,1965,4,56896,Office,96.0,1402048.5,28.46
NonResidential,1978,2,27500,Worship Facility,60.0,577123.125,14.79
NonResidential,1930,2,36630,Office,90.0,541943.3125,3.78
NonResidential,1906,5,41920,Office,95.0,1103594.75,7.69
NonResidential,1905,5,36879,Office,92.0,1537570.25,26.94
NonResidential,1906,4,43484,Non-Refrigerated Warehouse,18.0,1567040.75,10.92
NonResidential,1970,2,26510,Office,91.0,987063.6875,11.18
NonResidential,1938,1,40028,Non-Refrigerated Warehouse,80.0,942415.1875,6.76
NonResidential,2007,3,26282,Office,23.0,2188051.25,15.25
NonResidential,1954,1,21624,Worship Facility,90.0,666687.5,20.96
SPS-District K-12,1970,1,42239,K-12 School,83.0,2145603.5,72.69
SPS-District K-12,1925,3,51360,K-12 School,89.0,1403094.75,30.22
NonResidential,1910,5,40552,Hotel,99.0,1200180.875,53.25
NonResidential,1917,2,24550,Retail Store,100.0,977230.3125,6.73
SPS-District K-12,2000,2,61052,K-12 School,80.0,2366929.5,47.78
NonResidential,1929,3,22124,Residence Hall/Dormitory,82.0,637685.0,4.45
NonResidential,1926,3,27487,Residence Hall/Dormitory,82.0,1594504.875,65.95
NonResidential,1926,4,23616,Residence Hall/Dormitory,55.0,1656420.25,53.65
NonResidential,1976,3,33448,Residence Hall/Dormitory,78.0,998633.5,6.96
NonResidential,1925,2,22344,K-12 School,40.0,1522596.75,55.23
NonResidential,1999,2,32928,Parking,9.0,5652231.0,39.4
SPS-District K-12,1928,2,54943,K-12 School,94.0,2155390.25,83.76
NonResidential,1960,1,44476,Non-Refrigerated Warehouse,33.0,1368120.5,29.7
NonResidential,1969,1,35017,Office,66.0,1295485.25,27.06
NonResidential,1950,3,29084,Residence Hall/Dormitory,66.0,1632498.625,60.83
NonResidential,1963,2,22952,Worship Facility,98.0,470666.6875,19.28
NonResidential,1976,1,21040,Non-Refrigerated Warehouse,43.0,592088.125,19.14
NonResidential,1951,2,28032,Non-Refrigerated Warehouse,52.0,1321065.0,46.61
NonResidential,1974,1,25620,Distribution Center,82.0,550324.1875,20.46
NonResidential,1992,3,33238,Non-Refrigerated Warehouse,14.0,1632472.0,11.38
NonResidential,1912,4,27800,K-12 School,8.0,1181428.75,38.36
SPS-District K-12,1954,1,42128,K-12 School,93.0,1709307.5,49.55
SPS-District K-12,1932,2,44753,K-12 School,96.0,1638691.625,61.25
SPS-District K-12,1989,2,57298,K-12 School,91.0,1586388.75,11.06
NonResidential,1938,3,26373,Worship Facility,75.0,964236.0,38.18
NonResidential,1953,1,42420,Non-Refrigerated Warehouse,34.0,965425.1875,29.39
NonResidential,1974,1,35046,Non-Refrigerated Warehouse,100.0,1063269.125,17.65
NonResidential,1974,1,43380,Non-Refrigerated Warehouse,89.0,405062.0,2.82
NonResidential,1995,3,20410,Office,8.0,2720238.25,77.84
NonResidential,1983,3,18396,Office,87.0,624125.625,4.35
SPS-District K-12,1956,1,45174,K-12 School,84.0,1980825.25,68.89
NonResidential,2002,1,24955,Worship Facility,47.0,689803.0,21.87
NonResidential,1988,2,32961,K-12 School,86.0,1573155.0,62.94
Campus,1950,1,109794,K-12 School,87.0,3296526.25,115.34
NonResidential,1920,3,23422,Office,65.0,2701872.0,128.07
NonResidential,1998,5,38409,Multifamily Housing,93.0,3392129.0,83.65
NonResidential,1920,2,23040,Non-Refrigerated Warehouse,99.0,79711.79688,0.87
NonResidential,1958,2,61880,Non-Refrigerated Warehouse,66.0,595936.5,4.15
NonResidential,1925,2,27938,Office,97.0,1027394.313,7.31
Campus,2000,2,30562,K-12 School,69.0,1622231.375,55.73
NonResidential,2000,3,54969,Retail Store,67.0,3724098.25,39.31
NonResidential,1958,3,25834,Office,73.0,2076289.625,54.02
SPS-District K-12,1925,2,27273,K-12 School,90.0,1258619.125,46.7
NonResidential,2004,6,97229,Multifamily Housing,100.0,1021754.688,7.12
NonResidential,1982,3,25111,Office,77.0,954352.6875,24.97
NonResidential,1953,2,31805,Worship Facility,10.0,1641667.0,68.39
NonResidential,1953,1,20811,K-12 School,95.0,1267348.5,43.97
Nonresidential COS,1967,2,22058,Non-Refrigerated Warehouse,1.0,1987334.75,66.43
NonResidential,1971,1,28320,Distribution Center,1.0,4236396.5,67.96
NonResidential,1955,1,29079,Worship Facility,78.0,861643.6875,22.18
NonResidential,1982,3,19232,Office,82.0,726917.5,5.07
NonResidential,1988,2,20535,Office,7.0,1835804.0,38.71
NonResidential,1965,1,30800,Non-Refrigerated Warehouse,65.0,485971.0,3.39
NonResidential,1922,1,37400,Non-Refrigerated Warehouse,73.0,924192.6875,7.8
NonResidential,1982,5,54015,Office,75.0,3020001.5,21.05
NonResidential,1991,3,103000,Retail Store,89.0,5214621.5,81.18
NonResidential,1904,4,72859,Non-Refrigerated Warehouse,55.0,1498457.875,12.43
SPS-District K-12,2009,2,138705,K-12 School,84.0,4959298.0,124.77
NonResidential,1960,0,30287,Medical Office,32.0,2193115.0,32.72
NonResidential,1985,6,73102,Office,84.0,4307238.5,30.03
NonResidential,1993,1,26263,Office,64.0,1634669.375,11.4
NonResidential,1902,6,74211,Office,97.0,1357119.875,9.46
NonResidential,1988,2,45700,Non-Refrigerated Warehouse,99.0,1544193.75,15.5
NonResidential,2008,2,70292,Worship Facility,37.0,1933811.625,57.59
NonResidential,2013,6,52000,Office,100.0,342726.0938,-0.8
NonResidential,2014,2,35780,K-12 School,22.0,2912264.0,51.59
NonResidential,2013,3,76844,Office,100.0,1363191.625,9.5
NonResidential,2013,3,47673,Office,67.0,2502131.0,20.1
NonResidential,2013,4,39433,Hotel,62.0,3497215.5,24.38
NonResidential,2014,2,48925,K-12 School,82.0,1662054.125,22.76
NonResidential,2010,8,41198,Supermarket/Grocery Store,44.0,7768057.5,82.58
NonResidential,1970,0,89392,Residence Hall/Dormitory,16.0,6960904.5,48.53
NonResidential,2011,0,97040,Residence Hall/Dormitory,69.0,3894142.5,62.41
NonResidential,2014,4,85284,Hotel,72.0,6042399.5,131.02
NonResidential,1929,2,24990,Office,9.0,4420650.5,134.8
NonResidential,2015,3,45000,K-12 School,77.0,1325972.75,9.24
Nonresidential COS,1952,1,13661,Office,75.0,502667.6875,3.5
Nonresidential COS,1960,1,15398,Office,93.0,387810.0,7.79
Nonresidential COS,1990,1,12294,Office,46.0,849745.6875,20.94
