TotalGHGEmissions
38.53
90.01
128.44
31.47
130.56
83.86
35.36
134.38
87.98
67.06
39.06
48.76
78.85
34.14
20.48
84.75
127.29
124.92
89.02
10.55
56.82
41.74
94.64
129.39
54.07
49.58
83.7
69.44
35.78
73.47
46.36
80.08
49.12
21.29
28.27
36.24
9.63
72.88
49.09
84.57
71.86
43.98
69.42
16.0
44.22
68.19
26.19
51.67
31.97
26.1
70.17
89.47
30.86
49.12
24.91
78.92
48.65
40.46
70.47
36.61
51.14
74.83
31.72
44.48
13.86
117.11
5.32
5.44
30.27
21.36
35.8
42.03
38.59
33.06
93.23
32.73
20.86
40.47
22.57
29.53
122.68
74.1
23.81
25.32
24.35
24.29
22.44
45.47
10.24
34.9
27.17
37.74
17.17
8.15
25.58
2.8
42.65
76.68
10.72
3.62
46.93
28.63
6.32
32.02
38.55
90.24
49.17
42.25
35.8
44.35
22.1
57.73
58.88
58.67
45.22
23.86
22.12
65.3
107.16
20.29
39.5
64.0
39.47
8.73
19.73
134.69
19.89
76.8
22.39
31.58
65.56
74.18
30.5
16.48
18.74
138.35
20.18
47.25
100.42
49.25
42.74
67.29
40.38
21.37
23.48
35.56
30.61
60.7
55.73
5.59
54.78
116.74
97.82
69.02
7.08
75.29
19.86
34.14
33.58
38.21
47.82
65.03
109.85
109.16
27.82
54.4
20.12
41.8
13.72
31.43
30.35
73.58
13.61
1.06
131.64
89.53
74.45
79.39
20.94
27.24
54.18
14.49
7.56
16.27
95.54
49.29
25.6
31.74
89.08
11.29
24.39
17.87
36.02
43.84
70.76
86.46
77.04
2.41
21.93
22.65
37.78
71.06
83.59
9.82
42.19
25.24
24.02
43.8
18.1
29.54
14.22
9.95
6.16
15.24
13.87
8.68
14.63
28.81
60.43
33.78
16.63
66.29
12.95
41.69
10.83
72.78
36.43
4.22
13.91
63.61
28.41
74.92
126.3
99.15
18.66
32.64
33.23
34.98
38.87
6.49
32.22
23.59
38.78
5.67
4.99
118.37
89.57
27.14
20.08
61.84
23.15
49.98
130.58
89.29
43.45
13.29
34.15
13.16
33.92
41.68
19.82
63.06
3.89
1.73
1.7
61.71
39.05
1.67
50.69
31.6
61.53
29.82
47.59
18.85
62.94
2.52
6.18
32.8
39.5
72.26
11.27
15.47
68.14
32.63
106.45
68.97
29.41
69.77
3.06
10.26
8.85
81.96
1.55
3.73
28.09
3.34
13.71
46.48
9.0
42.04
8.47
30.32
66.53
18.34
82.34
5.41
16.06
7.49
23.85
11.29
16.13
19.39
8.49
40.22
10.36
12.35
36.74
45.33
61.98
79.58
17.12
8.8
12.59
31.24
26.38
20.76
20.9
48.35
9.3
73.61
85.55
107.45
123.41
1.12
31.61
82.72
35.77
32.09
73.48
20.64
13.97
77.8
86.51
13.33
3.94
77.48
11.97
12.98
14.13
22.46
41.22
3.04
75.25
30.22
4.05
115.43
104.91
10.15
46.46
35.96
50.67
24.42
5.97
7.07
13.27
86.81
3.71
13.75
9.42
18.63
2.64
26.55
7.59
73.26
1.85
103.28
23.9
80.09
32.77
9.08
4.88
24.88
6.99
49.62
53.73
49.73
17.38
64.88
0.81
64.54
55.3
60.34
78.22
5.24
29.24
13.29
31.79
14.9
34.26
9.03
37.49
46.44
4.58
14.81
5.94
5.07
6.3
1.68
34.52
16.67
44.26
33.28
30.49
8.97
12.24
28.28
8.44
2.34
82.57
17.24
13.25
33.42
42.96
55.85
11.39
129.89
3.04
2.19
19.12
12.15
23.6
9.79
62.23
2.86
2.69
21.24
62.05
112.34
110.66
24.31
22.26
38.57
33.8
59.24
11.17
13.91
26.73
13.12
55.86
60.57
24.76
14.36
6.04
18.87
4.95
7.56
10.01
37.51
128.41
50.07
46.51
13.67
42.45
54.24
19.51
37.08
9.26
22.48
67.05
19.61
8.85
17.04
2.91
21.5
4.48
28.57
102.35
12.92
8.84
44.27
18.03
1.14
12.55
40.85
3.45
8.7
17.29
15.35
59.0
56.04
6.42
3.67
18.5
38.87
60.12
2.82
9.25
16.5
43.64
38.38
