NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),BuildingAge,Energy_per_m2,GHG_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean,GHG_vs_type_mean
2,56228,95.0,1539478.5,55,27.379214981859572,0.0006852457850181405,2.5027955895454208e-05,3092540,1996164.7493421054,56.04810526315789
6,58006,84.0,3663534.5,15,63.157854359893804,0.00155173602730752,2.4569169472813754e-05,870090,3010660.921875,84.3
5,52210,57.0,4456714.5,38,85.3613196705612,0.00246006512162421,2.8819436380768837e-05,1983980,3010660.921875,84.3
2,54986,97.0,1650279.25,26,30.01271687338595,0.000572327501545848,1.9069499904334372e-05,1429636,1996164.7493421054,56.04810526315789
2,94900,57.0,6186461.5,55,65.18926765015806,0.001375763962065332,2.1104148146723292e-05,5219500,2628999.7780914395,34.69634241245136
2,52554,83.0,2951331.25,116,56.15807074628002,0.0015956920500818205,2.8414296090958954e-05,6096264,2628999.7780914395,34.69634241245136
8,59400,14.0,5071974.0,106,85.38676767676768,0.0005952861952861953,6.9716445707332095e-06,6296400,2628999.7780914395,34.69634241245136
7,71150,98.0,5348309.0,31,75.16948699929726,0.0018886858749121575,2.5125698608663036e-05,2205650,3010660.921875,84.3
2,54984,71.0,3375211.0,54,61.38533027789902,0.0016001018478102721,2.6066518508028093e-05,2969136,2628999.7780914395,34.69634241245136
6,63371,74.0,3706100.25,8,58.48259061715927,0.001058212747155639,1.80944916425291e-05,506968,3010660.921875,84.3
2,58320,96.0,1049748.625,87,17.99980495541838,0.0006697530864197531,3.720890798975803e-05,5073840,2274415.943082143,33.59196428571429
4,50283,68.0,3476212.5,46,69.13295746077203,0.0009697114332875922,1.4026760446894429e-05,2313018,2628999.7780914395,34.69634241245136
3,67743,34.0,2646879.0,93,39.072361720030116,0.001163957899709195,2.9789801498292895e-05,6300099,1996164.7493421054,56.04810526315789
3,63681,63.0,4897760.0,13,76.91085253058212,0.0005361096716446035,6.970533468361046e-06,827853,2628999.7780914395,34.69634241245136
3,59955,93.0,1633399.375,27,27.243755733466767,0.0003415895254774414,1.2538268541947986e-05,1618785,1996164.7493421054,56.04810526315789
2,93218,86.0,2887392.0,52,30.974618635885772,0.0009091591752665794,2.935174718223227e-05,4847336,1996164.7493421054,56.04810526315789
4,51390,89.0,3611538.0,15,70.27705779334501,0.002476941039112668,3.524537191634146e-05,770850,3010660.921875,84.3
2,131013,88.0,3894584.5,53,29.726702693625825,0.0009534931648004397,3.207530867541839e-05,6943689,1996164.7493421054,56.04810526315789
3,69138,78.0,3242458.0,14,46.89834823107408,0.0012875697879603113,2.7454480520642053e-05,967932,3010660.921875,84.3
2,55513,93.0,1513570.75,25,27.265158611496407,0.00019004557491038136,6.9702721197539e-06,1387825,1996164.7493421054,56.04810526315789
3,78804,92.0,2499140.0,15,31.713364803817065,0.000721029389371098,2.273582112246613e-05,1182060,1996164.7493421054,56.04810526315789
3,66994,79.0,2371304.5,14,35.39577424844016,0.0006230408693315819,1.760212574977191e-05,937916,1996164.7493421054,56.04810526315789
3,98357,88.0,3456131.5,16,35.13864290289456,0.0009622090954380471,2.7383217334178403e-05,1573712,1996164.7493421054,56.04810526315789
4,102100,89.0,4448582.5,15,43.5708374142997,0.0012672869735553378,2.9085669423911994e-05,1531500,2395087.953125,53.75333333333333
3,62526,96.0,1986094.875,14,31.764304049515403,0.0008647602597319516,2.7224278497773175e-05,875364,1996164.7493421054,56.04810526315789
3,64015,21.0,3242077.75,9,50.645594782472855,0.0007745059751620714,1.5292662244142664e-05,576135,2628999.7780914395,34.69634241245136
