NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,BuildingAge,Energy_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean
1,60448,90.0,38,17.407436970619376,2.5887513337557633e-05,2297024,1334609.24919344
5,90266,18.0,29,86.10034232158287,6.9712382382067475e-06,2617714,3669635.28125
4,80874,87.0,12,14.412529057546307,1.2431377818548427e-05,970488,1334609.24919344
4,132828,83.0,28,8.158894397265637,6.975909697033519e-06,3719184,1334609.24919344
4,80360,96.0,29,8.536824135141861,2.3716537811852383e-05,2330440,1334609.24919344
1,61183,92.0,66,39.6306858114182,3.940241864616152e-05,4038078,1996164.7493421054
3,53552,3.0,95,132.03985845533313,6.970726977243737e-06,5087440,2628999.7780914395
3,56986,32.0,16,35.04687993542274,1.2818063856489759e-05,911776,2137021.729333333
2,22220,90.0,59,35.0295145139514,4.077826553135684e-05,1310980,997971.7780206897
1,46732,87.0,61,49.90055529401695,3.819974482759138e-05,2850652,1996164.7493421054
1,44100,1.0,40,36.71012188208617,6.973800607829418e-06,1764000,1334609.24919344
1,27800,13.0,51,44.03547661870503,1.992343893749828e-05,1417800,1418871.6024444446
1,46340,3.0,15,55.3302546396202,6.969567910190468e-06,695100,1334609.24919344
3,38460,69.0,106,50.720573322932914,1.8465040927978526e-05,4076760,2628999.7780914395
2,21022,54.0,94,44.96459066692037,4.637947940779943e-05,1976068,997971.7780206897
2,51489,93.0,62,38.533815475150035,3.5664106963088014e-05,3192318,1996164.7493421054
1,48001,49.0,49,44.65846024041166,4.033306265024748e-05,2352049,1418871.6024444446
1,37351,10.0,47,68.52458434847796,3.0100078659116513e-05,1755497,1334609.24919344
1,30375,73.0,35,11.386557613168725,6.968002664321351e-06,1063125,1334609.24919344
2,33589,90.0,102,15.178665262437107,4.3013816079895267e-05,3426078,997971.7780206897
3,43500,46.0,37,74.03759195402299,7.0327740466729345e-06,1609500,2628999.7780914395
2,28492,12.0,38,66.55548487294679,1.9923019782416948e-05,1082696,2628999.7780914395
2,37327,92.0,91,52.709201784231254,3.611733330215973e-05,3396757,1996164.7493421054
2,47602,78.0,86,47.25836099323558,3.715784080894651e-05,4093772,1996164.7493421054
3,64630,96.0,74,21.790056862138325,6.972988810642968e-06,4782620,2628999.7780914395
2,20920,15.0,68,49.81398183556405,4.048522778578238e-05,1422560,997971.7780206897
2,22128,94.0,90,27.492755219631235,4.148861359259607e-05,1991520,997971.7780206897
1,48139,98.0,48,17.84907507426411,2.7955046725341813e-05,2310672,2274415.943082143
2,21364,86.0,67,45.1999215970792,4.535799613965136e-05,1431388,997971.7780206897
1,25735,82.0,20,45.43986302700602,1.5478090751851465e-05,514700,2274415.943082143
2,49965,82.0,13,67.59150905633943,8.746865663289051e-06,649545,2274415.943082143
2,20028,95.0,87,25.55409458258438,2.7784431544509766e-05,1742436,2628999.7780914395
7,23622,100.0,116,23.368364236728475,1.8025117412353997e-05,2740152,2628999.7780914395
3,23563,67.0,114,37.48239559903238,6.9746559430388e-06,2686182,2628999.7780914395
2,26160,55.0,38,83.56339831804281,6.971578694324865e-06,994080,2274415.943082143
5,26840,24.0,110,74.11650521609538,6.972347378734189e-06,2952400,2628999.7780914395
2,46800,86.0,110,26.606570512820515,6.970837725242183e-06,5148000,2274415.943082143
