NumberofFloors,PropertyGFABuilding(s)_log,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,Longitude,NumberOfPropertyUseTypes,BuildingAge,Age_x_Size_log,Floor_density,size_x_type_mean,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility,SiteEnergyUse(kBtu)
3,10.286707051696972,Office,12714.0,47.61252,-122.34565,3,106,14.95014614580904,9780.0,43853.04391891892,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2160420.0
3,10.517564469112537,Office,36959.0,47.6367,-122.3285,2,16,13.290153191352317,12319.666666666666,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3205182.5
5,10.7113018080742,Office,57972.0,47.63616,-122.32718,2,52,14.662545526655627,8972.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3600571.25
2,9.958354453976968,Office,21128.0,47.61992,-122.34539,1,57,14.001405721811519,10564.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,436604.0938
3,10.8503462859767,Office,54150.0,47.61952,-122.34462,2,3,11.948958574644811,17184.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1539066.375
4,10.558932865912062,Hotel,38500.0,47.62014,-122.34456,1,57,14.601984133746612,9630.0,46808.19047619047,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2804534.0
3,10.123827176517604,Hotel,19000.0,47.62174,-122.34417,1,55,14.131160361750075,8310.0,46808.19047619047,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,867184.375
1,10.216032954712599,Worship Facility,27338.0,47.6201,-122.34071,1,56,14.241384645447747,27338.0,32669.727272727272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,581289.0
2,9.908972482766698,Parking,65000.0,47.64132,-122.31644,2,17,12.742185826822913,10055.0,40729.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2045592.0
3,10.73343577458822,Office,45864.0,47.61954,-122.35847,1,86,15.187783070841727,15288.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2590622.0
2,10.804705254912761,K-12 School,61099.0,47.72726,-122.32835,1,17,13.637918598968978,24626.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3485865.5
1,10.43426285160974,K-12 School,50337.0,47.71343,-122.31466,1,66,14.623917593636165,34005.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,991918.0
1,10.626703114218108,K-12 School,60814.0,47.56549,-122.39689,1,67,14.831395733609073,41221.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2246747.5
3,10.409582001926218,Office,33176.0,47.63245,-122.32529,2,29,13.77687783191269,11058.666666666666,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1426279.5
3,9.972547088467623,Retail Store,10751.0,47.63246,-122.32658,3,23,13.108041304396773,7143.333333333333,38211.08571428571,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1878742.875
2,11.23327769754677,K-12 School,75605.0,47.52499,-122.27466,1,16,14.005866419786551,37802.5,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2274873.5
2,10.292992641065563,K-12 School,29525.0,47.52526,-122.27092,1,8,12.3724341827454,14762.5,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1297812.75
1,10.288069449727868,Non-Refrigerated Warehouse,16768.0,47.53906,-122.32031,3,39,13.951631095857515,29380.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,856088.625
2,10.029591429331854,Worship Facility,22688.0,47.60321889,-122.3205567,1,94,14.572886211601858,11344.0,32669.727272727272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,331675.0
2,10.627697258547892,Office,40738.0,47.54693,-122.28718,1,34,14.154057783164053,20631.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1903455.875
3,10.729415844329893,Worship Facility,45680.0,47.68566,-122.31849,1,108,15.41154707145411,15226.666666666666,32669.727272727272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2077039.375
1,10.067390523806065,Worship Facility,18278.0,47.53439,-122.37699,2,59,14.144927967711784,23562.0,32669.727272727272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,531737.1875
4,10.26965727803665,Office,10292.0,47.65804,-122.36537,2,17,13.102870622092865,7211.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,910718.6875
2,10.906469610188987,K-12 School,54285.0,47.54176,-122.37349,1,28,14.238674120364191,27264.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1972078.625
1,9.957075711706057,Non-Refrigerated Warehouse,18373.0,47.56067,-122.32646,2,27,13.252912577710386,21101.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,675772.875
2,10.72753140789784,Refrigerated Warehouse,45594.0,47.56067,-122.32705,1,102,15.35250422118211,22797.0,34953.666666666664,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1351267.875
1,10.244449694430193,Non-Refrigerated Warehouse,21780.0,47.56056,-122.32593,2,41,13.958021761134502,28126.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,870625.8125
1,10.46310334047155,Non-Refrigerated Warehouse,35000.0,47.54813,-122.32553,1,52,14.414347059052979,35000.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,378714.4063
1,10.171604469493069,Non-Refrigerated Warehouse,26150.0,47.54948,-122.32536,1,54,14.160588516057343,26150.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1208407.625
2,10.085809109330082,Office,24000.0,47.54974,-122.3261,1,49,13.977629407440709,12000.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1088556.25
5,10.682674805188459,K-12 School,40809.0,47.64132,-122.31644,1,48,14.55387581609635,8718.8,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2478045.5
